book_num,title,author,publication_year
1,Jane_Eyre,Charlotte_Bronte,1847
2,Shirley,Charlotte_Bronte,1849
3,Villette,Charlotte_Bronte,1853
4,The_Professor,Charlotte_Bronte,1857
5,Wuthering_Heights,Emily_Bronte,1847
6,Agnes_Grey,Anne_Bronte,1847
7,The_Tenant_of_Wildfell_Hall,Anne_Bronte,1848
8,Persuasion,Jane_Austen,1817
9,Northanger_Abby,Jane_Austen,1817
10,Mansfield_Park,Jane_Austen,1814
11,Emma,Jane_Austen,1815
12,Pride_and_Prejudice,Jane_Austen,1813
13,Sense_and_Sensibility,Jane_Austen,1811
14,North_and_South,Elizabeth_Cleghorn_Gaskell,1855
15,Wives_and_Daughters,Elizabeth_Cleghorn_Gaskell,1866
16,Middlemarch,George_Eliot,1872
17,The_Mill_on_the_Floss,George_Eliot,1860
18,Adam_Bede,George_Eliot,1859
19,Lady_Anna,Anthony_Trollope,1874
20,Cecilia,Frances_Burney,1782
21,Can_You_Forgive_Her,Anthony_Trollope,1865
22,Doctor_Thorne,Anthony_Trollope,1858
23,Miss_Mackenzie,Anthony_Trollope,1865
24,Rachel_Ray,Anthony_Trollope,1863
25,The_Claverings,Anthony_Trollope,1867
26,The_Way_We_Live_Now,Anthony_Trollope,1875
27,David_Copperfield,Charles_Dickens,1850
28,Great_Expectations,Charles_Dickens,1861
29,Little_Dorrit,Charles_Dickens,1857
30,Our_Mutual_Friend,Charles_Dickens,1865
